X,Y,Z,track_se_1,ele,time
174024.595678927,8229807.99052747,1216.4,"0",1216.400000000000091,2020/09/19 19:07:09.000
174019.979514061,8229808.58750486,1216.4,"1",1216.400000000000091,2020/09/19 19:07:10.000
174020.393411119,8229809.59051571,1216.4,"2",1216.400000000000091,2020/09/19 19:07:11.000
174021.034545262,8229809.7106836,1216.4,"3",1216.400000000000091,2020/09/19 19:07:12.000
174021.568553204,8229809.82928146,1216.4,"4",1216.400000000000091,2020/09/19 19:07:13.000
174022.209687354,8229809.94944931,1216.4,"5",1216.400000000000091,2020/09/19 19:07:14.000
174022.849198438,8229810.18036501,1216.4,"6",1216.400000000000091,2020/09/19 19:07:15.000
174023.490332597,8229810.30053281,1216.4,"7",1216.400000000000091,2020/09/19 19:07:16.000
174024.024340556,8229810.41913062,1216.4,"8",1216.400000000000091,2020/09/19 19:07:17.000
174024.665474724,8229810.53929839,1216.5,"9",1216.500000000000000,2020/09/19 19:07:18.000
174026.980051999,8229813.45328236,1216.5,"10",1216.500000000000000,2020/09/19 19:07:19.000
174027.496206578,8229814.79010656,1216.5,"11",1216.500000000000000,2020/09/19 19:07:20.000
174031.325159181,8229816.72933861,1216.7,"12",1216.700000000000045,2020/09/19 19:07:21.000
174032.269819058,8229818.07244241,1216.7,"13",1216.700000000000045,2020/09/19 19:07:22.000
174035.32454391,8229821.66190186,1217,"14",1217.000000000000000,2020/09/19 19:07:23.000
174038.595145288,8229825.14375266,1217.4,"15",1217.400000000000091,2020/09/19 19:07:24.000
174043.245405711,8229829.53199403,1217.9,"16",1217.900000000000091,2020/09/19 19:07:25.000
174047.361659392,8229833.80163699,1218.4,"17",1218.400000000000091,2020/09/19 19:07:26.000
174051.594778383,8229837.40836166,1218.4,"18",1218.400000000000091,2020/09/19 19:07:27.000
174055.177026372,8229841.55940562,1218.9,"19",1218.900000000000091,2020/09/19 19:07:28.000
174058.87289351,8229845.26902719,1219.3,"20",1219.299999999999955,2020/09/19 19:07:29.000
174060.536606773,8229848.7273266,1219.3,"21",1219.299999999999955,2020/09/19 19:07:30.000
174063.170949305,8229851.75676231,1219.4,"22",1219.400000000000091,2020/09/19 19:07:31.000
174069.838748817,8229850.08212129,1219.1,"23",1219.099999999999909,2020/09/19 19:07:32.000
174071.106414405,8229851.3191841,1218.9,"24",1218.900000000000091,2020/09/19 19:07:33.000
174070.328942417,8229853.19090907,1218.9,"25",1218.900000000000091,2020/09/19 19:07:34.000
174066.852214313,8229856.46311245,1219.1,"26",1219.099999999999909,2020/09/19 19:07:35.000
174065.222599087,8229857.99003591,1219.4,"27",1219.400000000000091,2020/09/19 19:07:36.000
174061.85137307,8229861.37455635,1219.4,"28",1219.400000000000091,2020/09/19 19:07:37.000
174057.412127352,8229864.52188302,1219.5,"29",1219.500000000000000,2020/09/19 19:07:38.000
174054.135042741,8229868.79395513,1219.6,"30",1219.599999999999909,2020/09/19 19:07:39.000
174050.431073888,8229872.94899992,1219.9,"31",1219.900000000000091,2020/09/19 19:07:40.000
174047.157232605,8229876.99957576,1220,"32",1220.000000000000000,2020/09/19 19:07:41.000
174044.839414487,8229881.61801898,1220.4,"33",1220.400000000000091,2020/09/19 19:07:42.000
174041.137064875,8229885.66231502,1220.4,"34",1220.400000000000091,2020/09/19 19:07:43.000
174037.028928562,8229888.14986136,1220.4,"35",1220.400000000000091,2020/09/19 19:07:44.000
174034.944835805,8229891.44246957,1220.4,"36",1220.400000000000091,2020/09/19 19:07:45.000
174036.277433326,8229895.56054822,1220.4,"37",1220.400000000000091,2020/09/19 19:07:46.000
174039.108181297,8229899.81135229,1220.4,"38",1220.400000000000091,2020/09/19 19:07:47.000
174043.427343281,8229904.8593681,1220.4,"39",1220.400000000000091,2020/09/19 19:07:48.000
174048.421724204,8229907.70184462,1220.1,"40",1220.099999999999909,2020/09/19 19:07:49.000
174054.057243412,8229910.66448616,1219.9,"41",1219.900000000000091,2020/09/19 19:07:50.000
174064.257018928,8229916.57406715,1219.4,"42",1219.400000000000091,2020/09/19 19:07:51.000
174069.446185155,8229920.74865123,1219.4,"43",1219.400000000000091,2020/09/19 19:07:52.000
174074.315595815,8229924.80777698,1219.4,"44",1219.400000000000091,2020/09/19 19:07:53.000
174078.305276891,8229930.40481378,1219.4,"45",1219.400000000000091,2020/09/19 19:07:54.000
174082.528685451,8229934.67601495,1219.4,"46",1219.400000000000091,2020/09/19 19:07:55.000
174087.190338472,8229938.28900647,1219.4,"47",1219.400000000000091,2020/09/19 19:07:56.000
174092.166882891,8229942.34969657,1219.4,"48",1219.400000000000091,2020/09/19 19:07:57.000
174096.930798037,8229946.29649839,1219.4,"49",1219.400000000000091,2020/09/19 19:07:58.000
174102.457582797,8229949.36830296,1219.4,"50",1219.400000000000091,2020/09/19 19:07:59.000
174108.10772079,8229951.33419746,1219.4,"51",1219.400000000000091,2020/09/19 19:08:00.000
174113.8617414,8229953.52315535,1219.6,"52",1219.599999999999909,2020/09/19 19:08:01.000
174119.727757055,8229955.3814376,1219.6,"53",1219.599999999999909,2020/09/19 19:08:02.000
174124.957502146,8229956.78731082,1219.7,"54",1219.700000000000045,2020/09/19 19:08:03.000
174130.72450419,8229958.09028165,1220.1,"55",1220.099999999999909,2020/09/19 19:08:04.000
174137.676391122,8229958.96752224,1220.4,"56",1220.400000000000091,2020/09/19 19:08:05.000
174143.657647509,8229960.2736281,1220.6,"57",1220.599999999999909,2020/09/19 19:08:06.000
174149.434384404,8229960.91210721,1220.7,"58",1220.700000000000045,2020/09/19 19:08:07.000
174155.730532842,8229962.66590834,1221.1,"59",1221.099999999999909,2020/09/19 19:08:08.000
174161.396898827,8229963.52431044,1221.1,"60",1221.099999999999909,2020/09/19 19:08:09.000
174167.376534446,8229964.94115719,1221.1,"61",1221.099999999999909,2020/09/19 19:08:10.000
174173.148405555,8229965.91187301,1221,"62",1221.000000000000000,2020/09/19 19:08:11.000
174178.194721273,8229965.21038757,1220.8,"63",1220.799999999999955,2020/09/19 19:08:12.000
174183.47962188,8229962.85082334,1220,"64",1220.000000000000000,2020/09/19 19:08:13.000
174187.832822158,8229958.26218204,1219.8,"65",1219.799999999999955,2020/09/19 19:08:14.000
174191.764002031,8229953.22427311,1219.4,"66",1219.400000000000091,2020/09/19 19:08:15.000
174197.490381437,8229949.98500081,1219.4,"67",1219.400000000000091,2020/09/19 19:08:16.000
174203.836810751,8229948.30560927,1219.4,"68",1219.400000000000091,2020/09/19 19:08:17.000
174209.757975993,8229946.3984448,1219.4,"69",1219.400000000000091,2020/09/19 19:08:18.000
174215.787888615,8229944.38210017,1219.4,"70",1219.400000000000091,2020/09/19 19:08:19.000
174222.882578786,8229942.82443405,1219.4,"71",1219.400000000000091,2020/09/19 19:08:20.000
174228.170711635,8229940.24336559,1219.5,"72",1219.500000000000000,2020/09/19 19:08:21.000
174232.736528932,8229935.76860335,1219.4,"73",1219.400000000000091,2020/09/19 19:08:22.000
174236.031422169,8229930.27828505,1219.4,"74",1219.400000000000091,2020/09/19 19:08:23.000
174237.730768626,8229923.98919994,1219.4,"75",1219.400000000000091,2020/09/19 19:08:24.000
174238.363714781,8229917.35218323,1219.4,"76",1219.400000000000091,2020/09/19 19:08:25.000
174238.151002241,8229909.92738181,1219.4,"77",1219.400000000000091,2020/09/19 19:08:26.000
174238.042173008,8229902.72564457,1219.4,"78",1219.400000000000091,2020/09/19 19:08:27.000
174238.154084848,8229895.08405429,1218.9,"79",1218.900000000000091,2020/09/19 19:08:28.000
174238.048500533,8229887.66082158,1218.5,"80",1218.500000000000000,2020/09/19 19:08:29.000
174237.947782594,8229879.90534575,1217.8,"81",1217.799999999999955,2020/09/19 19:08:30.000
174237.842199476,8229872.48211291,1217.5,"82",1217.500000000000000,2020/09/19 19:08:31.000
174237.418481988,8229864.83267792,1217,"83",1217.000000000000000,2020/09/19 19:08:32.000
174237.218749564,8229856.52189451,1216.9,"84",1216.900000000000091,2020/09/19 19:08:33.000
174237.019017938,8229848.21111102,1216.9,"85",1216.900000000000091,2020/09/19 19:08:34.000
174236.494664667,8229840.11711602,1216.7,"86",1216.700000000000045,2020/09/19 19:08:35.000
174235.434681758,8229832.01527616,1216.7,"87",1216.700000000000045,2020/09/19 19:08:36.000
174232.435076547,8229824.66042856,1216.4,"88",1216.400000000000091,2020/09/19 19:08:37.000
174225.669841062,8229818.35814222,1216.4,"89",1216.400000000000091,2020/09/19 19:08:38.000
174217.244189513,8229815.68699177,1216.4,"90",1216.400000000000091,2020/09/19 19:08:39.000
174209.354169718,8229813.02368323,1216.4,"91",1216.400000000000091,2020/09/19 19:08:40.000
174203.213855911,8229807.94902771,1216.5,"92",1216.500000000000000,2020/09/19 19:08:41.000
174199.681879756,8229800.36483195,1216.3,"93",1216.299999999999955,2020/09/19 19:08:42.000
174198.946537115,8229792.04619936,1215.9,"94",1215.900000000000091,2020/09/19 19:08:43.000
174199.176951211,8229783.63094136,1215.5,"95",1215.500000000000000,2020/09/19 19:08:44.000
174199.704410138,8229776.88160673,1215.3,"96",1215.299999999999955,2020/09/19 19:08:45.000
174201.189513016,8229770.58938553,1215.6,"97",1215.599999999999909,2020/09/19 19:08:46.000
174204.680806418,8229766.32043738,1216.1,"98",1216.099999999999909,2020/09/19 19:08:47.000
174209.853667886,8229764.29154946,1216.4,"99",1216.400000000000091,2020/09/19 19:08:48.000
174215.542691404,8229763.59947861,1216.4,"100",1216.400000000000091,2020/09/19 19:08:49.000
174220.140990661,8229764.2206881,1216.4,"101",1216.400000000000091,2020/09/19 19:08:50.000
174224.852904231,8229764.40047483,1216.4,"102",1216.400000000000091,2020/09/19 19:08:51.000
174229.029188651,8229764.57241537,1216.4,"103",1216.400000000000091,2020/09/19 19:08:52.000
174232.225120055,8229765.83771095,1216.4,"104",1216.400000000000091,2020/09/19 19:08:53.000
174233.023732284,8229769.83718028,1216.4,"105",1216.400000000000091,2020/09/19 19:08:54.000
174232.247898463,8229771.59816038,1216.4,"106",1216.400000000000091,2020/09/19 19:08:55.000
174229.748318541,8229773.99852233,1216.4,"107",1216.400000000000091,2020/09/19 19:08:56.000
174224.724758114,8229773.14954363,1216.4,"108",1216.400000000000091,2020/09/19 19:08:57.000
174221.241512737,8229769.553838,1216.4,"109",1216.400000000000091,2020/09/19 19:08:58.000
174216.979189156,8229767.9406068,1216.4,"110",1216.400000000000091,2020/09/19 19:08:59.000
174211.619653043,8229768.08364698,1216.4,"111",1216.400000000000091,2020/09/19 19:09:00.000
174207.086301743,8229770.34344571,1216.1,"112",1216.099999999999909,2020/09/19 19:09:01.000
174204.453637619,8229774.51419971,1215.6,"113",1215.599999999999909,2020/09/19 19:09:02.000
174204.823742117,8229778.50739429,1216.1,"114",1216.099999999999909,2020/09/19 19:09:03.000
174204.742632599,8229784.04478037,1216.2,"115",1216.200000000000045,2020/09/19 19:09:04.000
174204.885508319,8229788.92081837,1216.2,"116",1216.200000000000045,2020/09/19 19:09:05.000
174204.810888031,8229794.01521353,1216.3,"117",1216.299999999999955,2020/09/19 19:09:06.000
174204.952142112,8229799.0019992,1216.4,"118",1216.400000000000091,2020/09/19 19:09:07.000
174205.091774323,8229804.09953256,1216.4,"119",1216.400000000000091,2020/09/19 19:09:08.000
174206.62566754,8229809.10671659,1216.5,"120",1216.500000000000000,2020/09/19 19:09:09.000
174209.021436579,8229813.79420996,1216.4,"121",1216.400000000000091,2020/09/19 19:09:10.000
174213.905438287,8229816.85657581,1216.4,"122",1216.400000000000091,2020/09/19 19:09:11.000
174218.4988826,8229817.81002678,1216.4,"123",1216.400000000000091,2020/09/19 19:09:12.000
174224.161965801,8229818.88991459,1216.4,"124",1216.400000000000091,2020/09/19 19:09:13.000
174229.164450502,8229821.17861162,1216.4,"125",1216.400000000000091,2020/09/19 19:09:14.000
174232.013060224,8229824.21116189,1216.4,"126",1216.400000000000091,2020/09/19 19:09:15.000
174233.865095803,8229829.44454492,1216.6,"127",1216.599999999999909,2020/09/19 19:09:16.000
174234.537122953,8229834.77141689,1216.7,"128",1216.700000000000045,2020/09/19 19:09:17.000
174233.389627853,8229839.96086898,1216.9,"129",1216.900000000000091,2020/09/19 19:09:18.000
174232.98066189,8229845.93653758,1217.1,"130",1217.099999999999909,2020/09/19 19:09:19.000
174233.118681033,8229851.14481706,1217.1,"131",1217.099999999999909,2020/09/19 19:09:20.000
174233.250212592,8229856.79608727,1217.1,"132",1217.099999999999909,2020/09/19 19:09:21.000
174233.599241003,8229862.22899991,1217.1,"133",1217.099999999999909,2020/09/19 19:09:22.000
174234.271270718,8229867.55587158,1217.3,"134",1217.299999999999955,2020/09/19 19:09:23.000
174234.191794793,8229872.98250842,1217.8,"135",1217.799999999999955,2020/09/19 19:09:24.000
174234.110697155,8229878.51989293,1218,"136",1218.000000000000000,2020/09/19 19:09:25.000
174234.354222787,8229883.84048877,1218.3,"137",1218.299999999999955,2020/09/19 19:09:26.000
174234.490622398,8229889.15951566,1218.7,"138",1218.700000000000045,2020/09/19 19:09:27.000
174235.162654478,8229894.486387,1218.9,"139",1218.900000000000091,2020/09/19 19:09:28.000
174234.979297442,8229899.68995943,1219.3,"140",1219.299999999999955,2020/09/19 19:09:29.000
174235.326707208,8229905.23361935,1219.4,"141",1219.400000000000091,2020/09/19 19:09:30.000
174234.607718123,8229910.42934734,1219.4,"142",1219.400000000000091,2020/09/19 19:09:31.000
174234.948640885,8229916.41599794,1219.4,"143",1219.400000000000091,2020/09/19 19:09:32.000
174234.763662783,8229921.73031801,1219.4,"144",1219.400000000000091,2020/09/19 19:09:33.000
174234.364431688,8229927.04150032,1219.4,"145",1219.400000000000091,2020/09/19 19:09:34.000
174233.108187772,8229932.34013168,1219.4,"146",1219.400000000000091,2020/09/19 19:09:35.000
174231.316310316,8229937.63091867,1219.5,"147",1219.500000000000000,2020/09/19 19:09:36.000
174227.706522748,8229942.67353922,1219.5,"148",1219.500000000000000,2020/09/19 19:09:37.000
174223.367932005,8229946.26545711,1219.4,"149",1219.400000000000091,2020/09/19 19:09:38.000
174217.661022065,8229948.17576285,1219.4,"150",1219.400000000000091,2020/09/19 19:09:39.000
174212.431277485,8229946.76991206,1219.4,"151",1219.400000000000091,2020/09/19 19:09:40.000
174209.298577013,8229941.18545778,1219.4,"152",1219.400000000000091,2020/09/19 19:09:41.000
174209.931531206,8229934.54844036,1219.4,"153",1219.400000000000091,2020/09/19 19:09:42.000
174210.663501948,8229928.46673046,1219.4,"154",1219.400000000000091,2020/09/19 19:09:43.000
174211.726584498,8229921.72524131,1219.4,"155",1219.400000000000091,2020/09/19 19:09:44.000
