X,Y,Z,track_se_1,ele,time
174211.505770294,8229914.85417662,1219.4,"156",1219.400000000000091,2020/09/19 19:09:45.000
174211.8238333,8229907.76946143,1219.4,"157",1219.400000000000091,2020/09/19 19:09:46.000
174212.038014175,8229900.46168182,1219.4,"158",1219.400000000000091,2020/09/19 19:09:47.000
174212.044430712,8229892.70777335,1219.1,"159",1219.099999999999909,2020/09/19 19:09:48.000
174212.154730104,8229885.17692926,1218.6,"160",1218.599999999999909,2020/09/19 19:09:49.000
174212.584786993,8229877.7615399,1218.4,"161",1218.400000000000091,2020/09/19 19:09:50.000
174212.583094658,8229870.56136986,1218.3,"162",1218.299999999999955,2020/09/19 19:09:51.000
174211.601045367,8229864.45455557,1218.4,"163",1218.400000000000091,2020/09/19 19:09:52.000
174209.210134444,8229859.43482061,1218.3,"164",1218.299999999999955,2020/09/19 19:09:53.000
174204.126469182,8229855.37258779,1218.1,"165",1218.099999999999909,2020/09/19 19:09:54.000
174199.443734183,8229853.19934115,1217.8,"166",1217.799999999999955,2020/09/19 19:09:55.000
174193.908856455,8229850.68129713,1217.8,"167",1217.799999999999955,2020/09/19 19:09:56.000
174187.914652826,8229850.26118174,1217.8,"168",1217.799999999999955,2020/09/19 19:09:57.000
174182.110368085,8229851.5054191,1217.7,"169",1217.700000000000045,2020/09/19 19:09:58.000
174176.484645228,8229855.18924375,1217.6,"170",1217.599999999999909,2020/09/19 19:09:59.000
174171.160831911,8229860.20674792,1217.5,"171",1217.500000000000000,2020/09/19 19:10:00.000
174167.015405993,8229865.241513,1217.6,"172",1217.599999999999909,2020/09/19 19:10:01.000
174163.093964912,8229869.61492966,1217.7,"173",1217.700000000000045,2020/09/19 19:10:02.000
174158.852765483,8229873.8728903,1217.6,"174",1217.599999999999909,2020/09/19 19:10:03.000
174154.494703948,8229878.79376763,1217.5,"175",1217.500000000000000,2020/09/19 19:10:04.000
174150.036003557,8229883.2700841,1217.4,"176",1217.400000000000091,2020/09/19 19:10:05.000
174146.114556133,8229887.64349887,1217.4,"177",1217.400000000000091,2020/09/19 19:10:06.000
174140.808574772,8229891.44277284,1217.4,"178",1217.400000000000091,2020/09/19 19:10:07.000
174136.562499723,8229896.03297397,1217.4,"179",1217.400000000000091,2020/09/19 19:10:08.000
174132.860167864,8229900.07728266,1217.6,"180",1217.599999999999909,2020/09/19 19:10:09.000
174129.691845076,8229904.24018571,1217.8,"181",1217.799999999999955,2020/09/19 19:10:10.000
174125.541534802,8229909.60718937,1217.8,"182",1217.799999999999955,2020/09/19 19:10:11.000
174125.676287567,8229915.03696922,1217.9,"183",1217.900000000000091,2020/09/19 19:10:12.000
174127.413073049,8229920.82253329,1218.1,"184",1218.099999999999909,2020/09/19 19:10:13.000
174128.828479698,8229926.6033889,1218.4,"185",1218.400000000000091,2020/09/19 19:10:14.000
174126.190919486,8229931.10638237,1218.4,"186",1218.400000000000091,2020/09/19 19:10:15.000
174121.305319608,8229935.46567046,1218.3,"187",1218.299999999999955,2020/09/19 19:10:16.000
174116.635593764,8229939.71734889,1218.2,"188",1218.200000000000045,2020/09/19 19:10:17.000
174112.499877487,8229944.08762165,1218.1,"189",1218.099999999999909,2020/09/19 19:10:18.000
174108.47939896,8229947.90572443,1218,"190",1218.000000000000000,2020/09/19 19:10:19.000
174103.18150991,8229951.15125402,1217.9,"191",1217.900000000000091,2020/09/19 19:10:20.000
174097.596312392,8229952.06637039,1217.8,"192",1217.799999999999955,2020/09/19 19:10:21.000
174092.15880566,8229950.21435997,1217.7,"193",1217.700000000000045,2020/09/19 19:10:22.000
174087.498771752,8229946.49062231,1217.6,"194",1217.599999999999909,2020/09/19 19:10:23.000
174083.161742359,8229942.66084434,1217.5,"195",1217.500000000000000,2020/09/19 19:10:24.000
174078.922105216,8229939.49712173,1217.5,"196",1217.500000000000000,2020/09/19 19:10:25.000
174074.601305488,8229934.5598634,1217.4,"197",1217.400000000000091,2020/09/19 19:10:26.000
174070.183117307,8229928.95654729,1217.2,"198",1217.200000000000045,2020/09/19 19:10:27.000
174065.745458531,8229924.68220377,1217.2,"199",1217.200000000000045,2020/09/19 19:10:28.000
174060.467015588,8229919.28782305,1217,"200",1217.000000000000000,2020/09/19 19:10:29.000
174056.1429785,8229914.57205529,1216.9,"201",1216.900000000000091,2020/09/19 19:10:30.000
174050.640550022,8229909.83901889,1216.8,"202",1216.799999999999955,2020/09/19 19:10:31.000
174046.327876918,8229904.34801359,1216.7,"203",1216.700000000000045,2020/09/19 19:10:32.000
174041.042952056,8229899.39661786,1216.6,"204",1216.599999999999909,2020/09/19 19:10:33.000
174036.517653241,8229893.79172232,1216.5,"205",1216.500000000000000,2020/09/19 19:10:34.000
174031.021725851,8229888.6156879,1216.4,"206",1216.400000000000091,2020/09/19 19:10:35.000
174025.538784882,8229882.55366876,1216.2,"207",1216.200000000000045,2020/09/19 19:10:36.000
174020.270100031,8229876.49478761,1216.1,"208",1216.099999999999909,2020/09/19 19:10:37.000
174015.645800202,8229870.33457665,1216,"209",1216.000000000000000,2020/09/19 19:10:38.000
174009.836619543,8229864.60008568,1215.8,"210",1215.799999999999955,2020/09/19 19:10:39.000
174003.486940255,8229859.18998607,1215.7,"211",1215.700000000000045,2020/09/19 19:10:40.000
173998.529907645,8229853.80029505,1215.6,"212",1215.599999999999909,2020/09/19 19:10:41.000
173992.400979666,8229847.95033978,1215.5,"213",1215.500000000000000,2020/09/19 19:10:42.000
173986.483061239,8229842.32501828,1215.3,"214",1215.299999999999955,2020/09/19 19:10:43.000
173980.996897769,8229836.48447954,1215.2,"215",1215.200000000000045,2020/09/19 19:10:44.000
173976.054485364,8229830.09805038,1215.1,"216",1215.099999999999909,2020/09/19 19:10:45.000
173969.385068345,8229824.57247914,1214.9,"217",1214.900000000000091,2020/09/19 19:10:46.000
173963.913524073,8229817.73520327,1214.8,"218",1214.799999999999955,2020/09/19 19:10:47.000
173958.112487591,8229811.44695412,1214.7,"219",1214.700000000000045,2020/09/19 19:10:48.000
173952.946094798,8229805.72186447,1214.6,"220",1214.599999999999909,2020/09/19 19:10:49.000
173946.401675006,8229798.97962699,1214.4,"221",1214.400000000000091,2020/09/19 19:10:50.000
173940.915533164,8229793.13907437,1214.3,"222",1214.299999999999955,2020/09/19 19:10:51.000
173934.249382853,8229787.39199301,1214.1,"223",1214.099999999999909,2020/09/19 19:10:52.000
173928.763247104,8229781.55143626,1214,"224",1214.000000000000000,2020/09/19 19:10:53.000
173922.637604741,8229775.47995869,1213.9,"225",1213.900000000000091,2020/09/19 19:10:54.000
173916.388603255,8229770.51438786,1213.7,"226",1213.700000000000045,2020/09/19 19:10:55.000
173910.582721836,8229764.55836537,1213.6,"227",1213.599999999999909,2020/09/19 19:10:56.000
173904.34509191,8229758.81755429,1213.5,"228",1213.500000000000000,2020/09/19 19:10:57.000
173897.899708079,8229752.63060768,1213.3,"229",1213.299999999999955,2020/09/19 19:10:58.000
173891.864970259,8229747.66816903,1213.2,"230",1213.200000000000045,2020/09/19 19:10:59.000
173886.044487033,8229742.70886966,1213.1,"231",1213.099999999999909,2020/09/19 19:11:00.000
173880.857019127,8229738.42348067,1213,"232",1213.000000000000000,2020/09/19 19:11:01.000
173876.495707331,8229736.2548681,1212.9,"233",1212.900000000000091,2020/09/19 19:11:02.000
173872.463893626,8229733.53722688,1213,"234",1213.000000000000000,2020/09/19 19:11:03.000
173869.035862705,8229733.48696157,1213,"235",1213.000000000000000,2020/09/19 19:11:04.000
173866.766730325,8229734.7829507,1213.1,"236",1213.099999999999909,2020/09/19 19:11:05.000
173865.060834342,8229734.20407767,1213.1,"237",1213.099999999999909,2020/09/19 19:11:06.000
173864.366166275,8229730.42764979,1213.1,"238",1213.099999999999909,2020/09/19 19:11:07.000
173865.135535161,8229729.10966951,1213.2,"239",1213.200000000000045,2020/09/19 19:11:08.000
173865.593269733,8229727.12248873,1213.2,"240",1213.200000000000045,2020/09/19 19:11:09.000
173867.638406113,8229726.48784623,1213.2,"241",1213.200000000000045,2020/09/19 19:11:10.000
173872.316221407,8229728.99341741,1213.3,"242",1213.299999999999955,2020/09/19 19:11:11.000
173875.698782933,8229732.14462619,1213.3,"243",1213.299999999999955,2020/09/19 19:11:12.000
173879.930233882,8229735.86214022,1213.4,"244",1213.400000000000091,2020/09/19 19:11:13.000
173883.306302176,8229739.4563394,1213.5,"245",1213.500000000000000,2020/09/19 19:11:14.000
173887.529636718,8229743.7275914,1213.5,"246",1213.500000000000000,2020/09/19 19:11:15.000
173891.004714554,8229747.87709956,1213.6,"247",1213.599999999999909,2020/09/19 19:11:16.000
173895.437433012,8229752.48373477,1213.7,"248",1213.700000000000045,2020/09/19 19:11:17.000
173899.126765892,8229756.63638242,1213.8,"249",1213.799999999999955,2020/09/19 19:11:18.000
173903.134230974,8229761.01523698,1213.8,"250",1213.799999999999955,2020/09/19 19:11:19.000
173907.359197223,8229765.17573577,1213.9,"251",1213.900000000000091,2020/09/19 19:11:20.000
173910.623277455,8229769.10060244,1214,"252",1214.000000000000000,2020/09/19 19:11:21.000
173914.086998311,8229774.02534115,1214,"253",1214.000000000000000,2020/09/19 19:11:22.000
173918.944984314,8229778.85974787,1214.1,"254",1214.099999999999909,2020/09/19 19:11:23.000
173921.88281949,8229783.11214443,1214.2,"255",1214.200000000000045,2020/09/19 19:11:24.000
173926.214919777,8229787.27420868,1214.3,"256",1214.299999999999955,2020/09/19 19:11:25.000
173930.009767161,8229791.53916746,1214.3,"257",1214.299999999999955,2020/09/19 19:11:26.000
173933.163482298,8229795.68395477,1214.4,"258",1214.400000000000091,2020/09/19 19:11:27.000
173937.924092112,8229799.85229761,1214.5,"259",1214.500000000000000,2020/09/19 19:11:28.000
173941.512808905,8229803.56037312,1214.5,"260",1214.500000000000000,2020/09/19 19:11:29.000
173945.961783876,8229807.05951489,1214.6,"261",1214.599999999999909,2020/09/19 19:11:30.000
173950.196507648,8229810.55551483,1214.7,"262",1214.700000000000045,2020/09/19 19:11:31.000
173954.213733328,8229814.26986892,1214.7,"263",1214.700000000000045,2020/09/19 19:11:32.000
173958.649725242,8229818.65499075,1214.8,"264",1214.799999999999955,2020/09/19 19:11:33.000
173963.200961998,8229822.48794205,1214.9,"265",1214.900000000000091,2020/09/19 19:11:34.000
173967.529830973,8229826.8714912,1215,"266",1215.000000000000000,2020/09/19 19:11:35.000
173972.532302473,8229829.16025024,1215,"267",1215.000000000000000,2020/09/19 19:11:36.000
173977.077050489,8229833.43618947,1215.1,"268",1215.099999999999909,2020/09/19 19:11:37.000
173980.896264412,8229836.03991777,1215.2,"269",1215.200000000000045,2020/09/19 19:11:38.000
173985.554634666,8229839.87443329,1215.2,"270",1215.200000000000045,2020/09/19 19:11:39.000
173990.440244847,8229842.82610464,1215.3,"271",1215.299999999999955,2020/09/19 19:11:40.000
173995.533616313,8229846.22390642,1215.4,"272",1215.400000000000091,2020/09/19 19:11:41.000
174000.190367842,8229850.1691659,1215.4,"273",1215.400000000000091,2020/09/19 19:11:42.000
174003.88785245,8229853.76805007,1215.5,"274",1215.500000000000000,2020/09/19 19:11:43.000
174008.542983879,8229857.82405511,1215.6,"275",1215.599999999999909,2020/09/19 19:11:44.000
174012.677092288,8229860.87547803,1215.6,"276",1215.599999999999909,2020/09/19 19:11:45.000
174016.686221781,8229865.14355656,1215.7,"277",1215.700000000000045,2020/09/19 19:11:46.000
174021.128727868,8229869.08567028,1215.8,"278",1215.799999999999955,2020/09/19 19:11:47.000
174024.392843938,8229873.01051363,1215.9,"279",1215.900000000000091,2020/09/19 19:11:48.000
174027.111590701,8229877.59199387,1215.9,"280",1215.900000000000091,2020/09/19 19:11:49.000
174030.937309291,8229879.75271966,1216,"281",1216.000000000000000,2020/09/19 19:11:50.000
174034.875023899,8229881.58277097,1216,"282",1216.000000000000000,2020/09/19 19:11:51.000
174038.621206847,8229881.85921187,1216.1,"283",1216.099999999999909,2020/09/19 19:11:52.000
174041.330205494,8229879.79424895,1216.1,"284",1216.099999999999909,2020/09/19 19:11:53.000
174043.954797694,8229876.17724611,1216.2,"285",1216.200000000000045,2020/09/19 19:11:54.000
174047.968787633,8229872.80214644,1216.2,"286",1216.200000000000045,2020/09/19 19:11:55.000
174051.232891065,8229869.41605765,1216.3,"287",1216.299999999999955,2020/09/19 19:11:56.000
174053.859103423,8229865.68830629,1216.3,"288",1216.299999999999955,2020/09/19 19:11:57.000
174057.775700602,8229861.64714863,1216.3,"289",1216.299999999999955,2020/09/19 19:11:58.000
174061.24593964,8229858.81793762,1216.3,"290",1216.299999999999955,2020/09/19 19:11:59.000
174064.412649598,8229854.76579084,1216.2,"291",1216.200000000000045,2020/09/19 19:12:00.000
174066.597370295,8229851.91774224,1216.2,"292",1216.200000000000045,2020/09/19 19:12:01.000
174069.632610091,8229849.52524269,1216.1,"293",1216.099999999999909,2020/09/19 19:12:02.000
174070.393854127,8229848.76099602,1216.1,"294",1216.099999999999909,2020/09/19 19:12:03.000
174069.348555442,8229846.97333347,1216.1,"295",1216.099999999999909,2020/09/19 19:12:04.000
174068.499658736,8229846.40703643,1216.1,"296",1216.099999999999909,2020/09/19 19:12:05.000
174067.542012921,8229845.94991743,1216.1,"297",1216.099999999999909,2020/09/19 19:12:06.000
174066.585989956,8229845.38205055,1216,"298",1216.000000000000000,2020/09/19 19:12:07.000
174064.057151464,8229842.46493277,1216,"299",1216.000000000000000,2020/09/19 19:12:08.000
174062.899858795,8229841.0079435,1216,"300",1216.000000000000000,2020/09/19 19:12:09.000
174057.606834623,8229836.61028859,1215.9,"301",1215.900000000000091,2020/09/19 19:12:10.000
174052.964684676,8229831.66831181,1215.8,"302",1215.799999999999955,2020/09/19 19:12:11.000
174047.993043405,8229827.27536333,1215.7,"303",1215.700000000000045,2020/09/19 19:12:12.000
174041.951764532,8229822.75596666,1215.6,"304",1215.599999999999909,2020/09/19 19:12:13.000
174036.660371606,8229818.24755734,1215.6,"305",1215.599999999999909,2020/09/19 19:12:14.000
174031.904611837,8229813.74699609,1215.5,"306",1215.500000000000000,2020/09/19 19:12:15.000
174028.746008677,8229809.93447017,1215.4,"307",1215.400000000000091,2020/09/19 19:12:16.000
174026.645684041,8229807.0236263,1215.4,"308",1215.400000000000091,2020/09/19 19:12:17.000
174025.170263347,8229805.34042859,1215.4,"309",1215.400000000000091,2020/09/19 19:12:18.000
174024.647616971,8229804.44659572,1215.3,"310",1215.299999999999955,2020/09/19 19:12:19.000
174023.998367643,8229804.88016726,1215.3,"311",1215.299999999999955,2020/09/19 19:12:20.000
174024.214243066,8229804.77255937,1215.3,"312",1215.299999999999955,2020/09/19 19:12:21.000
